Title,Price,Rating,Reviews,Availability
"Samsung Galaxy S23 5G (Green, 8GB, 256GB Storage)","₹ 79,999",4.5 out of 5 stars,691 ratings,In stock
"Samsung Galaxy S22 5G (Green, 8GB, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹ 62,998",4.3 out of 5 stars,"1,488 ratings",In stock
"Samsung Galaxy S23 5G (Green, 8GB, 256GB Storage)","₹ 79,999",4.5 out of 5 stars,691 ratings,In stock
"Samsung Galaxy S23 5G (Phantom Black, 8GB, 256GB Storage)","₹ 79,999",4.5 out of 5 stars,691 ratings,In stock
"Samsung Galaxy S23 5G (Lavender, 8GB, 256GB Storage)","₹ 79,999",4.5 out of 5 stars,691 ratings,In stock
"Samsung Galaxy S23 5G (Cream, 8GB, 128GB Storage)","₹ 74,998",4.5 out of 5 stars,691 ratings,In stock
"Samsung Galaxy S23 5G (Cream, 8GB, 256GB Storage)","₹ 79,999",4.5 out of 5 stars,691 ratings,In stock
"Samsung Galaxy S23 Ultra 5G (Green, 12GB, 256GB Storage)","₹ 1,24,999",4.5 out of 5 stars,691 ratings,In stock
"Samsung Galaxy S23 Ultra 5G (Phantom Black, 12GB, 256GB Storage)","₹ 1,24,999",4.5 out of 5 stars,691 ratings,In stock
"Samsung Galaxy S23 Ultra 5G (Cream, 12GB, 256GB Storage)","₹ 1,24,999",4.5 out of 5 stars,691 ratings,In stock
"Samsung Galaxy M33 5G (Mystique Green, 8GB, 128GB Storage) | 6000mAh Battery | Upto 16GB RAM with RAM Plus | Without Charger","₹ 19,499",4.1 out of 5 stars,"27,110 ratings",In stock
"Xiaomi 13 Pro (Ceramic Black, 12GB RAM 256GB Storage) | Leica Professional 50MP Triple Camera | Biggest Camera Sensor 1"" IMX989 | SD 8 Gen 2","₹ 79,999",4.4 out of 5 stars,195 ratings,In stock
"Samsung Galaxy S23 Ultra 5G (Green, 12GB, 512GB Storage)","₹ 1,34,999",4.5 out of 5 stars,691 ratings,In stock
"Samsung Galaxy S23 5G (Phantom Black, 8GB, 128GB Storage)","₹ 74,998",4.5 out of 5 stars,691 ratings,In stock
"Samsung Galaxy S23 Ultra 5G (Phantom Black, 12GB, 512GB Storage)","₹ 1,34,999",4.5 out of 5 stars,691 ratings,In stock
"(Renewed) Samsung Galaxy S23 Ultra 5G (Green, 12GB, 256GB Storage)","₹ 1,06,249",1.0 out of 5 stars,3 ratings,Only 1 left in stock.
"Samsung Galaxy S23 5G (Green, 8GB, 128GB Storage)","₹ 74,998",4.5 out of 5 stars,691 ratings,In stock
"Samsung Galaxy S23 5G (Lavender, 8GB, 128GB Storage)","₹ 74,998",4.5 out of 5 stars,691 ratings,In stock
"(Renewed) Samsung Galaxy S23 Ultra 5G (Phantom Black, 12GB, 256GB Storage)","₹ 1,06,999",3.0 out of 5 stars,1 rating,In stock.
"Samsung Galaxy S23 Ultra 5G (Cream, 12GB, 512GB Storage)","₹ 1,34,999",4.4 out of 5 stars,10 ratings,In stock
"Xiaomi 12 Pro | 5G (Opera Muave, 12GB RAM, 256GB Storage)| Snapdragon 8 Gen 1 | 50+50+50MP Flagship Cameras (OIS) | 10bit 2K+ Curved AMOLED Display | Sound by Harman Kardon","₹ 53,999",4.0 out of 5 stars,"3,253 ratings",In stock
Redmi Note 12 5G Mystique Blue 6GB RAM 128GB ROM | 1st Phone with 120Hz Super AMOLED and Snapdragon® 4 Gen 1 | 48MP AI Triple Camera,"₹ 19,999",3.8 out of 5 stars,"3,503 ratings",In stock
